"","Class","Order","Family"
"1","Arachnida","Araneae","Araneidae"
"2","Arachnida","Araneae","Oxyopidae"
"3","Arachnida","Araneae","Pholcidae"
"4","Arachnida","Araneae","Salticidae"
"5","Arachnida","Araneae","Theridiidae"
"6","Arachnida","Sarcoptiformes","Acaridae"
"7","Arachnida","Sarcoptiformes","Pyroglyphidae"
"8","Arachnida","Sarcoptiformes","Suidasiidae"
"9","Chilopoda","Geophilomorpha","Mecistocephalidae"
"10","Collembola","Entomobryomorpha","Entomobryidae"
"11","Collembola","Entomobryomorpha","Isotomidae"
"12","Insecta","Blattodea","Blaberidae"
"13","Insecta","Blattodea","Blattidae"
"14","Insecta","Blattodea","Ectobiidae"
"15","Insecta","Coleoptera","Coccinellidae"
"16","Insecta","Coleoptera","Curculionidae"
"17","Insecta","Coleoptera","Elateridae"
"18","Insecta","Coleoptera","Hydrophilidae"
"19","Insecta","Coleoptera","Staphylinidae"
"20","Insecta","Dermaptera","Anisolabididae"
"21","Insecta","Diptera","Agromyzidae"
"22","Insecta","Diptera","Cecidomyiidae"
"23","Insecta","Diptera","Ceratopogonidae"
"24","Insecta","Diptera","Chloropidae"
"25","Insecta","Diptera","Culicidae"
"26","Insecta","Diptera","Dolichopodidae"
"27","Insecta","Diptera","Limoniidae"
"28","Insecta","Diptera","Lonchaeidae"
"29","Insecta","Diptera","Phoridae"
"30","Insecta","Diptera","Platystomatidae"
"31","Insecta","Diptera","Sciaridae"
"32","Insecta","Diptera","Stratiomyidae"
"33","Insecta","Hemiptera","Aleyrodidae"
"34","Insecta","Hemiptera","Coccidae"
"35","Insecta","Hymenoptera","Eulophidae"
"36","Insecta","Hymenoptera","Evaniidae"
"37","Insecta","Hymenoptera","Formicidae"
"38","Insecta","Lepidoptera","Agonoxenidae"
"39","Insecta","Lepidoptera","Crambidae"
"40","Insecta","Lepidoptera","Erebidae"
"41","Insecta","Lepidoptera","Tineidae"
"42","Insecta","Odonata","Libellulidae"
"43","Insecta","Orthoptera","Acrididae"
"44","Insecta","Orthoptera","Mogoplistidae"
"45","Insecta","Orthoptera","Tettigoniidae"
"46","Insecta","Psocoptera","Ectopsocidae"
"47","Insecta","Psocoptera","Lepidopsocidae"
"48","Insecta","Psocoptera","Liposcelididae"
